P_VTD,cntCBlk,Total,Anglo,AngleVAP,Hisp,HispVAP,VAP,BH,BHVAP,Black,BlackVAP,Other,OtherVAP
349,72,6952,4924,3891,1327,879,5246,1472,975,160,101,556,380
350,67,5730,3447,2965,1689,1205,4637,1982,1424,327,235,301,248
351,44,3845,2077,1829,790,603,3178,908,689,137,92,860,660
352,46,4957,3177,2824,1390,1070,4217,1575,1215,218,165,205,178
354,77,5865,4880,3826,580,429,4551,634,467,57,40,351,258
356,26,2825,2001,1903,453,381,2572,497,416,54,44,327,253
357,8,724,636,455,32,24,520,32,24,0,0,56,41
358,88,6924,4179,3576,2079,1478,5559,2444,1745,420,293,301,238
359,230,6587,4606,3621,1712,1116,4930,1783,1165,82,57,198,144
360,72,5871,3774,2937,1353,931,4425,1567,1092,245,174,530,396
361,25,1498,1243,1049,212,152,1236,223,160,12,9,32,27
362,39,3913,2911,2256,646,435,2942,755,515,113,80,247,171
363,32,1918,1507,1203,275,207,1509,314,232,40,26,97,74
364,102,4125,3712,2864,222,136,3127,234,141,15,5,179,122
365,57,3015,2216,1820,529,362,2370,610,416,88,59,189,134
366,89,7247,5051,3623,1085,682,5020,1255,789,195,124,941,608
367,70,7985,5596,3705,1083,614,5110,1250,714,187,109,1139,691
368,21,569,498,300,37,16,337,48,23,11,7,23,14
369,40,2052,1743,1303,181,106,1495,224,130,43,24,85,62
370,35,2469,1969,1541,420,264,1862,451,286,34,23,49,35
371,354,3246,2672,2211,468,295,2592,493,314,30,22,81,67
372,119,3046,2430,1994,441,287,2406,484,315,51,30,132,97
373,388,5893,5085,4199,601,415,4761,673,460,79,51,135,102
374,106,8721,6596,4199,1013,587,5469,1235,723,241,143,890,547
375,100,1171,970,808,133,82,944,150,96,18,15,51,40
401,95,5469,1358,1101,3362,1979,3559,3963,2351,665,402,148,107
402,115,9390,1541,1258,6832,4134,6091,7574,4612,839,525,275,221
403,97,3521,1100,901,2247,1399,2420,2378,1489,158,107,43,30
404,57,4094,907,739,2745,1697,2735,3091,1925,407,256,96,71
405,30,1138,271,242,799,495,783,848,527,58,37,19,14
406,71,4996,2780,2583,1833,1234,4114,2072,1413,269,196,144,118
407,173,8034,1671,1579,5217,3342,5922,6243,4242,1121,947,120,101
408,77,5405,2413,1935,2329,1489,3866,2633,1689,332,215,359,242
409,25,2559,1421,1323,959,712,2184,1069,801,115,90,69,60
410,46,5377,1793,1644,3059,2162,4216,3385,2392,362,250,199,180
411,30,2796,1229,1112,1236,892,2261,1459,1060,244,174,108,89
412,7,689,82,71,579,336,428,592,345,18,13,15,12
413,16,1568,773,723,619,472,1350,720,554,110,85,75,73
414,53,4647,2368,2005,1738,1178,3587,2029,1379,340,228,250,203
415,9,1618,781,691,703,459,1252,771,506,78,51,66,55
416,6,34,17,14,17,15,29,17,15,0,0,0,0
417,34,2798,1083,929,1312,891,2114,1490,1026,203,144,225,159
418,1,9,7,6,2,0,6,2,0,0,0,0,0
419,10,830,467,390,291,185,616,325,203,41,21,38,23
420,41,5206,1752,1653,2893,2022,4146,3252,2317,416,327,202,176
421,69,3355,2813,2583,349,306,3055,392,344,50,45,150,128
422,49,3156,2028,1845,855,564,2603,1029,670,189,112,99,88
423,154,10761,1083,910,8420,5259,7077,9520,6047,1220,841,158,120
424,55,4081,1779,1595,1862,1124,2969,2211,1300,401,190,91,74
425,14,978,475,434,433,327,815,480,363,56,43,23,18
426,98,4130,668,603,3186,2408,3257,3414,2609,265,226,48,45
427,112,3979,547,503,2867,1927,2896,3362,2331,541,420,70,62
428,28,1357,982,963,215,201,1321,296,282,87,84,79,76
429,71,12873,3164,3082,7056,5590,11129,8532,6936,1626,1449,1177,1111
430,27,3056,1352,1254,1437,969,2443,1605,1099,201,141,99,90
431,47,14239,3394,3163,8522,5921,10874,10145,7126,1811,1317,700,585
432,1,5,2,2,0,0,4,2,1,2,1,1,1
433,38,4676,2287,2160,1996,1551,4051,2172,1703,206,169,217,188
434,1,2,2,2,0,0,2,0,0,0,0,0,0
435,101,9351,4792,4085,3512,2322,7154,4160,2746,713,450,399,323
436,10,861,90,84,627,389,593,760,499,150,116,11,10
437,64,2862,2116,1928,581,495,2560,631,538,58,49,115,94
438,84,1959,671,629,1167,946,1694,1243,1021,84,82,45,44
439,96,4519,1012,925,3045,2113,3345,3410,2335,409,244,97,85
440,21,1893,673,629,1001,727,1548,1137,842,150,125,83,77
441,79,6580,2802,2603,3345,2455,5425,3590,2654,327,235,188,168
442,30,2814,1266,1217,1280,920,2356,1444,1052,186,146,104,87
443,126,12050,1280,1112,9751,5968,7764,10610,6528,1010,631,160,124
444,3,1301,34,27,814,407,689,1257,657,493,263,10,5
446,28,1827,795,704,950,696,1458,995,721,62,37,37,33
447,58,6521,2410,2154,3493,2404,5040,3944,2744,516,372,167,142
448,54,9312,1533,1409,6855,4331,6410,7581,4846,844,566,198,155
450,106,8632,1199,1043,6288,3901,5771,7248,4596,1104,756,185,132
451,60,5949,1969,1741,3477,2433,4580,3843,2715,453,326,137,124
452,63,9527,700,605,7850,4660,5908,8744,5238,1077,675,83,65
454,57,3225,2028,1802,1001,667,2610,1095,738,106,79,102,70
458,58,4864,2825,2512,1517,1077,3983,1845,1311,353,249,194,160
460,66,4746,2939,2616,1533,1127,3957,1674,1234,179,132,133,107
461,37,5096,3224,3014,1456,1127,4487,1650,1273,236,172,222,200
463,62,4858,2116,1810,2224,1522,3721,2532,1738,344,233,210,173
